source_file,sink_file,sink_line,sink_symbol,scenario,has_guard,has_validation
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,45,handle,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,47,if,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,48,next,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,51,get,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,51,get,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,53,if,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,54,handlePreflightRequest,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,54,handlePreflightRequest,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,56,varyHeader,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,56,varyHeader,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,61,next,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,63,if,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,64,varyHeader,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,64,varyHeader,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,67,addActualRequestHeaders,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,67,addActualRequestHeaders,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,80,foreach,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,81,if,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,82,trim,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,85,if,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,85,fullUrlIs,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,85,is,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,85,fullUrlIs,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,85,is,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,101,get,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,101,get,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,103,if,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,107,array_filter,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,107,function,Unknown impact,False,False
src/Illuminate/Http/Middleware/HandleCors.php,src/Illuminate/Http/Middleware/HandleCors.php,108,is_string,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,32,parameters,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,34,bindPathParameters,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,34,bindPathParameters,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,39,if,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,39,is_null,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,40,bindHostParameters,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,40,bindHostParameters,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,45,replaceDefaults,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,45,replaceDefaults,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,54,bindPathParameters,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,56,ltrim,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,56,decodedPath,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,56,decodedPath,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,58,preg_match,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,60,matchToKeys,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,60,array_slice,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,60,matchToKeys,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,70,bindHostParameters,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,72,preg_match,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,74,array_merge,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,74,matchToKeys,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,74,array_slice,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,74,matchToKeys,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,83,matchToKeys,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,85,if,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,85,empty,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,85,parameterNames,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,85,parameterNames,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,89,array_intersect_key,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,89,array_flip,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,91,array_filter,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,91,function,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,92,is_string,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,92,strlen,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,102,replaceDefaults,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,104,foreach,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,105,get,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,105,get,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,108,foreach,Unknown impact,False,False
src/Illuminate/Routing/RouteParameterBinder.php,src/Illuminate/Routing/RouteParameterBinder.php,109,if,Unknown impact,False,False
src/Illuminate/Routing/Matching/HostValidator.php,src/Illuminate/Routing/Matching/HostValidator.php,17,matches,Unknown impact,False,False
src/Illuminate/Routing/Matching/HostValidator.php,src/Illuminate/Routing/Matching/HostValidator.php,21,if,Unknown impact,False,False
src/Illuminate/Routing/Matching/HostValidator.php,src/Illuminate/Routing/Matching/HostValidator.php,21,is_null,Unknown impact,False,False
src/Illuminate/Routing/Matching/HostValidator.php,src/Illuminate/Routing/Matching/HostValidator.php,25,preg_match,Unknown impact,False,False
